segment_id,length_1
D1U6OOF,471.207
NG4X2MD,471.207
792705Z,471.207
IK67XHB,471.207
OWCF2MH,471.207
MORJH71,471.207
49ZDYOH,471.207
KL4UM68,471.207
V5A8ZZZ,471.207
XYFQJ1Q,469.92
HN83F3L,510.525
WLFBY9T,510.525
JCFWX6E,510.525
YQRHLO2,510.525
XKFABCI,510.525
UXERJVK,510.525
RZK0UM0,510.525
ZL4WLO2,548.918
LAZLJ7E,548.918
G850GMA,548.918
S4MOE5G,548.918
BN3EJU4,548.918
DD8YXZF,548.918
G181X8F,548.918
V19MLWF,548.918
L4CWZBU,548.918
BUJJNEA,548.918
KFYGRO8,548.918
QM4QKAZ,539.311
HB933EE,539.311
M43AKN2,539.311
MM6HDEQ,539.311
Z13SS1G,539.311
HSJ0WM7,539.311
IXSLKS7,539.311
WHW1BZK,539.311
NCMIGB7,584.9
9PORL0H,584.9
AEDN7D7,584.9
3YS1KQ9,584.9
TD8YB0R,506.654
YQCBO2Y,506.654
T182CUC,506.654
0W39BFY,506.654
6A90XDM,506.654
OBXISZN,506.654
O271SQN,506.654
74A6FL0,506.654
LFUJ30W,506.654
WJBR1L2,506.654
GPYNUA8,506.654
5Y5V87D,506.654
OD60AK9,506.654
IQEYE3S,506.654
QDRC5UW,506.654
FWO1XRQ,506.654
92BILMX,506.654
0TAWLCK,506.654
6SV0XZ0,506.654
8ITYQ2Z,487.413
CJ0BLSW,487.413
ZT6MOAL,487.413
1G21L7Q,487.413
JJGXEJ4,487.413
JRZWRIW,487.413
SPPGKO2,487.413
LK5JIX6,487.413
WO118LR,487.413
IQS1GLY,487.413
77YRHPV,487.413
5HTE1IC,487.413
1BJRIL1,487.413
VODEAWO,487.413
812PNMZ,487.413
K2E55RT,487.413
XZZ3D4U,487.413
EVANFZB,487.413
EUXS47I,487.413
CK5WH39,487.413
CJJI1XY,575.848
QBSA1OR,575.848
43RCYZH,575.848
H983665,575.848
4NSOFJG,575.848
PH8DIYU,555.17
5VK3U7Q,555.17
2FN9T8O,555.17
50TVADD,555.17
DRFEFT4,555.17
G2LL3S8,493.974
9484GS3,493.974
P7RBBFB,493.974
XTTWKZM,493.974
2M1UBKJ,493.974
Q0VL8BD,493.974
6EAJWW6,493.974
VU4GFO5,493.974
2Q8T4YB,493.974
LUOEP7G,493.974
RY0TRQ8,493.974
4ZR4GL4,493.974
WG6X4Y0,493.974
JZGFZ7Z,493.974
NRWU3QW,493.974
PD4MTSH,493.974
31F34EZ,592.25
RO046L9,592.25
IKN5JDM,592.25
AZ1BUKH,592.25
RB56HQI,592.25
9LMPLRW,592.25
J2L78G3,592.25
EJUD4D6,592.25
VMCY8BI,592.25
PRUSMVO,592.25
E4L0I98,592.25
JTY12HG,592.25
TRTR582,592.25
SY568EU,592.25
LC8FONX,592.25
XTZ54JY,592.25
AGD8UQ2,592.25
ULMQMUT,592.25
T64WM0N,592.25
WAC029P,592.25
P66KAPS,592.25
B8NRA4K,592.25
956JU5F,592.25
TBPN1BF,592.25
KVOVDD8,592.25
Q9S9V3Q,592.25
5QOCGMJ,592.25
J6A19TW,592.25
F47NAGJ,592.25
F055OA5,592.25
WJXP54Z,592.25
4UAL23D,592.25
GVQD9D6,523.482
3NAG1R5,523.482
2MHBCT2,523.482
Z2I5UQC,523.482
M2KOUEK,523.482
4KQ8VO6,523.482
6E6M9NN,523.482
GLFV0XV,496.447
8EI7FOX,496.447
C6FASR5,496.447
6VRO5T2,496.447
I6G60AH,496.447
QORS7OP,569.263
GDVJYQW,569.263
L2X64FB,569.263
DZABHQW,569.263
XINDPM1,569.263
MX8CVMX,569.263
4K0TGLP,569.263
WS0J1CU,569.263
V59S0GZ,569.263
ON7Z6I0,569.263
PCIQQ7E,569.263
K48Y5T9,569.263
5OR8UGL,569.263
AAS3KXB,569.263
UEP9HM4,569.263
Z4HC8K2,569.263
727J2TV,569.263
I8VWS8W,569.263
WWFC10X,569.263
JT4HGZ2,569.263
MRQ81XJ,569.263
BC5XKSB,569.263
0ICKV72,569.263
8LSZDSC,569.263
OCFS8ZD,569.263
IUTMY1U,569.263
F5UCVMI,569.263
VUYACXV,569.263
VWOSZKP,569.263
3GCD5AD,569.263
GMEHC97,569.263
WELMR24,569.263
0F3OY57,569.263
3IQ1GWG,569.263
SQ3W7J8,569.263
WVXBO5X,569.263
MRHTO2C,569.263
QXDLKB7,569.263
0PU7VDI,569.263
XW393UI,569.263
MC84I0T,569.263
GH5QX19,569.263
YMQX3CJ,569.263
WRJK3P3,569.263
YNCIDMW,569.263
3L7MZUR,569.263
8LOVJZ3,569.263
Q03FQ74,569.263
BG1AFJU,569.132
WE8VOFH,569.132
VO6FQAZ,569.132
EKZN1VM,569.132
E5D3KEB,569.132
DRI712Q,569.132
YEDB2ES,569.132
MPGNI7M,569.132
VPNLAYY,569.132
MEOYV3B,569.132
SZJISW0,569.132
SSS7BK6,569.132
REN8XE5,569.132
F1LYCFO,569.132
5PYA0N2,569.132
UUZT4OE,569.132
EK3DHQ6,569.132
71YNY81,569.132
8PK91S2,569.132
D7SS5LM,569.132
F8OXXG7,569.132
TC7A716,569.132
KNG6Z86,569.132
N1MTRIJ,569.132
A3B2HGD,569.132
EKVTVMV,569.132
9WPSDH2,569.132
MP664QK,569.132
2BTEHF3,569.132
KL3QK6O,569.132
ICNJ23X,569.132
H7OMXI9,569.132
YGRV6SD,569.132
OHQYM1R,569.132
1JRNIP6,569.132
Y5Z7TXB,569.132
3QSXJH3,569.132
6Q68JYJ,569.132
M4U0X5G,569.132
H48JVZQ,569.132
W0EUG1C,569.132
7O594ZJ,569.132
2J6C2D5,569.132
XPEXW89,569.132
TONSERE,569.132
16WNX7T,569.132
BDDVLQE,569.132
EDXK0HP,569.132
HFQZU6J,549.386
NFUEAN5,549.386
Q2HCM1O,549.386
Q17B8NG,549.386
P5N4Z0R,549.386
MQE3R88,549.386
Y4B7JOT,549.386
ZFMKTPH,549.386
J151TEQ,549.386
GZ48XRL,549.386
IH75D0V,549.386
W8VXVR4,549.386
TK9DSXW,522.834
ZCX0S5O,522.834
HIUQ2RB,522.834
VHGABXK,522.834
S55R1TY,522.834
68KOZH6,522.834
G5753GU,522.834
V5PX6ZH,522.834
T1DB85Y,522.834
YU41XSB,560.537
G5UHNNF,560.537
UB5HE92,560.537
CTB99FS,565.698
PDDTLDP,565.698
C6JTJJC,565.698
HH4TZKC,572.744
SQ0TZ3H,572.744
9EXF4O5,560.553
64QSPWU,560.553
AUFDV1E,560.553
C1ERJ22,560.553
0QQIE2L,516.039
HM3QRDM,516.039
89VZ0E3,516.039
EZG7A38,516.039
DRNRL0M,516.039
4K39AFD,516.039
GUA17R4,516.039
SE831U7,516.039
P0XX6RS,516.039
Q54XDYI,564.661
1S5XWTK,564.661
S9PC5LR,564.661
KDFE19M,564.661
H8PYLH4,571.301
6CP0S10,571.301
XHKKOUG,571.301
D5DGOZ9,571.301
XB2TN3V,571.301
N9A4I1K,571.301
DS4NLQE,571.301
S7S8GMD,582.036
9NXZ103,582.036
8SB405D,582.036
5QTO800,582.036
B6D0HHC,582.036
24P30PE,582.036
UCJGSIW,582.036
B1VWF3B,582.036
NL4FSPV,582.036
LG58LKX,582.036
GX2UELI,582.036
F14EJLW,582.036
8WHR0ZV,582.036
DMGFH2Z,582.036
0OH5J23,582.036
QTT8QNT,582.036
XBYNXP7,582.036
GBN0X51,565.948
3ZQNS8O,565.948
L6EU3EB,565.948
3VORNT0,565.948
Q7OLWGV,587.969
C3K236I,587.969
7T2W8WU,587.969
VI1GKEJ,587.969
8YJIRQ2,587.969
ZQJNJPJ,587.969
LRCHHQJ,587.969
SNTDQP9,587.969
LUOD99L,587.969
Z4VBV3L,587.969
UAXX1ZE,587.969
B3XNGYS,587.969
T14JPJU,587.969
MFUUB92,587.969
C0RCCDP,587.969
Q75ZW1Q,587.969
3A5K1RU,587.969
D3349RH,587.969
6K0F6S9,587.969
WPD6G14,587.969
XFMDDJ7,587.969
J7MH0RF,587.969
YGKOTWP,587.969
VTJ1O97,587.969
T7XSLG6,587.969
C62YWEF,587.969
4T821GV,587.969
1451FOG,587.969
PV3AVCT,587.969
UHFPI9X,587.969
J8FAZRB,587.969
0FF63NM,587.969
CRAU339,587.969
C6E7KMD,567.856
GFX7S4B,504.848
96FMXIF,504.848
6BYSPD6,504.848
FTX7LB8,504.848
4A66E8Q,504.848
A31P11M,521.945
1NG8I9K,521.945
YVR8GT6,521.945
VBUCV9N,521.945
LXZFSP3,521.945
8Z5P9T1,521.945
3WK9HI2,521.945
DVQD3DE,521.945
3MW0MN9,521.945
DUKT4RG,521.945
1VFLTND,521.945
RYJYAPI,521.945
X9J910I,521.945
YAPO4I4,500.581
NFEBWR6,148.802
93O3U6U,452.679
U3KP57C,452.679
UY59I9M,452.679
SUP29NG,452.679
LLGN7DY,68.524
ZP9STNM,88.58
7AKUBY4,496.859
M3INBBC,496.859
1K4ZYII,496.859
GO93XEE,496.859
EPX268G,287.456
HL23AIZ,287.456
ZAVM3PJ,114.361
V1BNX3D,513.522
P9PBFAJ,513.522
XO4JYNU,513.522
4HHV563,513.522
75BPNAM,513.522
0B0QOEN,513.522
8VPPU5N,490.953
G98H7FR,490.953
HR19LL7,465.046
7QBQK9L,481.621
A0RUUQL,481.621
WL17NEO,481.621
X17ILML,212.3
9FQFQ91,257.095
6BNXT5I,178.44
PXI00H9,83.557
FUPJ3Q2,69.493
JUJL6W1,92.206
BK0B4IL,197.748
9HDQLZ0,572.128
EIIZE13,572.128
B9V4IAJ,572.128
N5NO82G,572.128
X4UA382,572.128
GRI93Z2,111.133
7HICT0R,590.558
WUGV4DU,590.558
IV5F6YM,590.558
TBYQ54D,590.558
XNUEEZN,590.558
044ZYVD,590.558
2M4LCU0,521.765
GNGA5AC,521.765
S0B3CGQ,521.765
5OV4U4C,521.765
PLZ8PGL,521.765
BL0PD9J,492.647
YSM1T15,492.647
2ON8NSO,350.749
327YML6,350.749
SJUWTEK,555.13
1DDYC6F,365.121
EVFKBUY,126.172
086LLYS,430.272
DCB3LQM,364.425
P36URXV,387.216
5DHNI4S,387.216
JW0WKQ9,382.55
1Q44FGG,382.55
JY8VL6C,325.523
XOCWI97,559.277
AJRKP0C,559.277
H9QJECU,559.277
CZBWW0Z,559.277
S200A1J,559.277
8FBHDH2,559.277
R6JUSZT,559.277
TKB7K8T,420.492
XTC73NQ,420.492
NZUF7M4,420.492
KTXRGNX,420.492
K3N8ADC,574.917
I25JSGF,574.917
47SP0JH,574.917
HNEAFHF,574.917
SJ29DQW,574.917
VVJ158O,574.917
FSOOCGH,499.599
7PRTR79,499.599
HQ54B8O,499.599
IMJY7S7,499.599
H9XYX9Q,499.599
H8R7OJ2,326.505
93GA3XB,474.722
6OTRJQF,474.722
2YQQ9WS,474.722
6LJRHZ3,533.935
Z2OSI9E,533.935
OVJNYB2,533.935
LNO3W8J,533.935
N90YL69,533.935
QUHOO8R,590.452
8FIZY1M,590.452
F53D1DI,590.452
MJ9YER2,590.452
927BHUF,590.452
2XKQDM5,461.653
1QSGDUE,364.528
3BMH2Q5,311.522
SG89YSS,307.916
Q2V2552,326.982
JKTV1QW,326.982
LV4XGT5,409.051
396D4HI,449.287
NQSL7FX,237.008
87QMHBI,204.209
IY03OM4,269.999
5AC6YRF,269.999
YF1XDKK,487.419
74CTTH5,487.419
1BB1WRK,487.419
ETFFDX5,487.419
8MX4B9C,487.419
WTTU2KQ,435.293
1RWEBRU,432.39
JNEJVKK,432.39
WOSAB94,548.274
GU8ECHB,548.274
YM2J7ZE,472.93
V4ITGH1,472.93
GWTSM5V,472.93
YEWTYV9,472.93
AEY24LO,472.93
7EHES8A,217.113
FVZ3HQS,93.906
2B7HTHS,476.405
FKBUC13,476.405
S2QPOTD,476.405
9VXCPYN,552.042
FHYWZ07,552.042
2NHF7YC,552.042
QFRMXC4,552.042
LO1OZJ0,552.042
J0SM52K,424.379
LO3764F,189.854
IEBUIXM,358.667
AQW5HO1,358.667
0GZ5KS3,518.047
MTPU2BE,518.047
4SJWPE0,518.047
UABQ9EK,518.047
OCR113O,518.047
CCMG98M,518.047
87Z5O7Q,518.047
7YTZ0EM,442.496
ASFER6E,442.496
QVZKPQD,442.496
XS7M5WZ,442.496
8PA0RQ9,479.043
5XWBAKZ,479.043
0TMS99B,479.043
5093ZHY,479.043
OFAXGKF,542.207
M223F8G,542.207
MA3ZWVH,542.207
PRRLPFL,533.597
0ROEFOK,533.597
70OVULT,533.597
KVQ5DMG,550.645
I2POO7A,550.645
VXS8NZ1,550.645
9DFWVJX,550.645
K27GB0B,550.645
RWSJ6AY,550.645
03RHJ3G,528.544
0QR8FDW,447.393
W70WUF7,447.393
YLQRLAD,443.587
