segment_id,surftype
D1U6OOF,Paved
NG4X2MD,Paved
792705Z,Paved
IK67XHB,Paved
OWCF2MH,Paved
MORJH71,Paved
49ZDYOH,Paved
KL4UM68,Paved
V5A8ZZZ,Paved
XYFQJ1Q,Paved
HN83F3L,Paved
WLFBY9T,Paved
JCFWX6E,Paved
YQRHLO2,Paved
XKFABCI,Paved
UXERJVK,Paved
RZK0UM0,Paved
ZL4WLO2,Paved
LAZLJ7E,Paved
G850GMA,Paved
S4MOE5G,Paved
BN3EJU4,Paved
DD8YXZF,Paved
G181X8F,Paved
V19MLWF,Paved
L4CWZBU,Paved
BUJJNEA,Paved
KFYGRO8,Paved
QM4QKAZ,Paved
HB933EE,Paved
M43AKN2,Paved
MM6HDEQ,Paved
Z13SS1G,Paved
HSJ0WM7,Paved
IXSLKS7,Paved
WHW1BZK,Paved
NCMIGB7,Paved
9PORL0H,Paved
AEDN7D7,Paved
3YS1KQ9,Paved
TD8YB0R,Paved
YQCBO2Y,Paved
T182CUC,Paved
0W39BFY,Paved
6A90XDM,Paved
OBXISZN,Paved
O271SQN,Paved
74A6FL0,Paved
LFUJ30W,Paved
WJBR1L2,Paved
GPYNUA8,Paved
5Y5V87D,Paved
OD60AK9,Paved
IQEYE3S,Paved
QDRC5UW,Paved
FWO1XRQ,Paved
92BILMX,Paved
0TAWLCK,Paved
6SV0XZ0,Paved
8ITYQ2Z,Paved
CJ0BLSW,Paved
ZT6MOAL,Paved
1G21L7Q,Paved
JJGXEJ4,Paved
JRZWRIW,Paved
SPPGKO2,Paved
LK5JIX6,Paved
WO118LR,Paved
IQS1GLY,Paved
77YRHPV,Paved
5HTE1IC,Paved
1BJRIL1,Paved
VODEAWO,Paved
812PNMZ,Paved
K2E55RT,Paved
XZZ3D4U,Paved
EVANFZB,Paved
EUXS47I,Paved
CK5WH39,Paved
CJJI1XY,Paved
QBSA1OR,Paved
43RCYZH,Paved
H983665,Paved
4NSOFJG,Paved
PH8DIYU,Paved
5VK3U7Q,Paved
2FN9T8O,Paved
50TVADD,Paved
DRFEFT4,Paved
G2LL3S8,Paved
9484GS3,Paved
P7RBBFB,Paved
XTTWKZM,Paved
2M1UBKJ,Paved
Q0VL8BD,Paved
6EAJWW6,Paved
VU4GFO5,Paved
2Q8T4YB,Paved
LUOEP7G,Paved
RY0TRQ8,Paved
4ZR4GL4,Paved
WG6X4Y0,Paved
JZGFZ7Z,Paved
NRWU3QW,Paved
PD4MTSH,Paved
31F34EZ,Paved
RO046L9,Paved
IKN5JDM,Paved
AZ1BUKH,Paved
RB56HQI,Paved
9LMPLRW,Paved
J2L78G3,Paved
EJUD4D6,Paved
VMCY8BI,Paved
PRUSMVO,Paved
E4L0I98,Paved
JTY12HG,Paved
TRTR582,Paved
SY568EU,Paved
LC8FONX,Paved
XTZ54JY,Paved
AGD8UQ2,Paved
ULMQMUT,Paved
T64WM0N,Paved
WAC029P,Paved
P66KAPS,Paved
B8NRA4K,Paved
956JU5F,Paved
TBPN1BF,Paved
KVOVDD8,Paved
Q9S9V3Q,Paved
5QOCGMJ,Paved
J6A19TW,Paved
F47NAGJ,Paved
F055OA5,Paved
WJXP54Z,Paved
4UAL23D,Paved
GVQD9D6,Paved
3NAG1R5,Paved
2MHBCT2,Paved
Z2I5UQC,Paved
M2KOUEK,Paved
4KQ8VO6,Paved
6E6M9NN,Paved
GLFV0XV,Paved
8EI7FOX,Paved
C6FASR5,Paved
6VRO5T2,Paved
I6G60AH,Paved
QORS7OP,Paved
GDVJYQW,Paved
L2X64FB,Paved
DZABHQW,Paved
XINDPM1,Paved
MX8CVMX,Paved
4K0TGLP,Paved
WS0J1CU,Paved
V59S0GZ,Paved
ON7Z6I0,Paved
PCIQQ7E,Paved
K48Y5T9,Paved
5OR8UGL,Paved
AAS3KXB,Paved
UEP9HM4,Paved
Z4HC8K2,Paved
727J2TV,Paved
I8VWS8W,Paved
WWFC10X,Paved
JT4HGZ2,Paved
MRQ81XJ,Paved
BC5XKSB,Paved
0ICKV72,Paved
8LSZDSC,Paved
OCFS8ZD,Paved
IUTMY1U,Paved
F5UCVMI,Paved
VUYACXV,Paved
VWOSZKP,Paved
3GCD5AD,Paved
GMEHC97,Paved
WELMR24,Paved
0F3OY57,Paved
3IQ1GWG,Paved
SQ3W7J8,Paved
WVXBO5X,Paved
MRHTO2C,Paved
QXDLKB7,Paved
0PU7VDI,Paved
XW393UI,Paved
MC84I0T,Paved
GH5QX19,Paved
YMQX3CJ,Paved
WRJK3P3,Paved
YNCIDMW,Paved
3L7MZUR,Paved
8LOVJZ3,Paved
Q03FQ74,Paved
BG1AFJU,Paved
WE8VOFH,Paved
VO6FQAZ,Paved
EKZN1VM,Paved
E5D3KEB,Paved
DRI712Q,Paved
YEDB2ES,Paved
MPGNI7M,Paved
VPNLAYY,Paved
MEOYV3B,Paved
SZJISW0,Paved
SSS7BK6,Paved
REN8XE5,Paved
F1LYCFO,Paved
5PYA0N2,Paved
UUZT4OE,Paved
EK3DHQ6,Paved
71YNY81,Paved
8PK91S2,Paved
D7SS5LM,Paved
F8OXXG7,Paved
TC7A716,Paved
KNG6Z86,Paved
N1MTRIJ,Paved
A3B2HGD,Paved
EKVTVMV,Paved
9WPSDH2,Paved
MP664QK,Paved
2BTEHF3,Paved
KL3QK6O,Paved
ICNJ23X,Paved
H7OMXI9,Paved
YGRV6SD,Paved
OHQYM1R,Paved
1JRNIP6,Paved
Y5Z7TXB,Paved
3QSXJH3,Paved
6Q68JYJ,Paved
M4U0X5G,Paved
H48JVZQ,Paved
W0EUG1C,Paved
7O594ZJ,Paved
2J6C2D5,Paved
XPEXW89,Paved
TONSERE,Paved
16WNX7T,Paved
BDDVLQE,Paved
EDXK0HP,Paved
HFQZU6J,Paved
NFUEAN5,Paved
Q2HCM1O,Paved
Q17B8NG,Paved
P5N4Z0R,Paved
MQE3R88,Paved
Y4B7JOT,Paved
ZFMKTPH,Paved
J151TEQ,Paved
GZ48XRL,Paved
IH75D0V,Paved
W8VXVR4,Paved
TK9DSXW,Paved
ZCX0S5O,Paved
HIUQ2RB,Paved
VHGABXK,Paved
S55R1TY,Paved
68KOZH6,Paved
G5753GU,Paved
V5PX6ZH,Paved
T1DB85Y,Paved
YU41XSB,Paved
G5UHNNF,Paved
UB5HE92,Paved
CTB99FS,Paved
PDDTLDP,Paved
C6JTJJC,Paved
HH4TZKC,Paved
SQ0TZ3H,Paved
9EXF4O5,Paved
64QSPWU,Paved
AUFDV1E,Paved
C1ERJ22,Paved
0QQIE2L,Paved
HM3QRDM,Paved
89VZ0E3,Paved
EZG7A38,Paved
DRNRL0M,Paved
4K39AFD,Paved
GUA17R4,Paved
SE831U7,Paved
P0XX6RS,Paved
Q54XDYI,Paved
1S5XWTK,Paved
S9PC5LR,Paved
KDFE19M,Paved
H8PYLH4,Paved
6CP0S10,Paved
XHKKOUG,Paved
D5DGOZ9,Paved
XB2TN3V,Paved
N9A4I1K,Paved
DS4NLQE,Paved
S7S8GMD,Paved
9NXZ103,Paved
8SB405D,Paved
5QTO800,Paved
B6D0HHC,Paved
24P30PE,Paved
UCJGSIW,Paved
B1VWF3B,Paved
NL4FSPV,Paved
LG58LKX,Paved
GX2UELI,Paved
F14EJLW,Paved
8WHR0ZV,Paved
DMGFH2Z,Paved
0OH5J23,Paved
QTT8QNT,Paved
XBYNXP7,Paved
GBN0X51,Paved
3ZQNS8O,Paved
L6EU3EB,Paved
3VORNT0,Paved
Q7OLWGV,Paved
C3K236I,Paved
7T2W8WU,Paved
VI1GKEJ,Paved
8YJIRQ2,Paved
ZQJNJPJ,Paved
LRCHHQJ,Paved
SNTDQP9,Paved
LUOD99L,Paved
Z4VBV3L,Paved
UAXX1ZE,Paved
B3XNGYS,Paved
T14JPJU,Paved
MFUUB92,Paved
C0RCCDP,Paved
Q75ZW1Q,Paved
3A5K1RU,Paved
D3349RH,Paved
6K0F6S9,Paved
WPD6G14,Paved
XFMDDJ7,Paved
J7MH0RF,Paved
YGKOTWP,Paved
VTJ1O97,Paved
T7XSLG6,Paved
C62YWEF,Paved
4T821GV,Paved
1451FOG,Paved
PV3AVCT,Paved
UHFPI9X,Paved
J8FAZRB,Paved
0FF63NM,Paved
CRAU339,Paved
C6E7KMD,Paved
GFX7S4B,Paved
96FMXIF,Paved
6BYSPD6,Paved
FTX7LB8,Paved
4A66E8Q,Paved
A31P11M,Paved
1NG8I9K,Paved
YVR8GT6,Paved
VBUCV9N,Paved
LXZFSP3,Paved
8Z5P9T1,Paved
3WK9HI2,Paved
DVQD3DE,Paved
3MW0MN9,Paved
DUKT4RG,Paved
1VFLTND,Paved
RYJYAPI,Paved
X9J910I,Paved
YAPO4I4,Paved
NFEBWR6,Paved
93O3U6U,Paved
U3KP57C,Paved
UY59I9M,Paved
SUP29NG,Paved
LLGN7DY,Paved
ZP9STNM,Paved
7AKUBY4,Paved
M3INBBC,Paved
1K4ZYII,Paved
GO93XEE,Paved
EPX268G,Paved
HL23AIZ,Paved
ZAVM3PJ,Paved
V1BNX3D,Paved
P9PBFAJ,Paved
XO4JYNU,Paved
4HHV563,Paved
75BPNAM,Paved
0B0QOEN,Paved
8VPPU5N,Paved
G98H7FR,Paved
HR19LL7,Paved
7QBQK9L,Paved
A0RUUQL,Paved
WL17NEO,Paved
X17ILML,Paved
9FQFQ91,Paved
6BNXT5I,Paved
PXI00H9,Paved
FUPJ3Q2,Paved
JUJL6W1,Paved
BK0B4IL,Paved
9HDQLZ0,Paved
EIIZE13,Paved
B9V4IAJ,Paved
N5NO82G,Paved
X4UA382,Paved
GRI93Z2,Paved
7HICT0R,Paved
WUGV4DU,Paved
IV5F6YM,Paved
TBYQ54D,Paved
XNUEEZN,Paved
044ZYVD,Paved
2M4LCU0,Paved
GNGA5AC,Paved
S0B3CGQ,Paved
5OV4U4C,Paved
PLZ8PGL,Paved
BL0PD9J,Paved
YSM1T15,Paved
2ON8NSO,Paved
327YML6,Paved
SJUWTEK,Paved
1DDYC6F,Paved
EVFKBUY,Paved
086LLYS,Paved
DCB3LQM,Paved
P36URXV,Paved
5DHNI4S,Paved
JW0WKQ9,Paved
1Q44FGG,Paved
JY8VL6C,Paved
XOCWI97,Paved
AJRKP0C,Paved
H9QJECU,Paved
CZBWW0Z,Paved
S200A1J,Paved
8FBHDH2,Paved
R6JUSZT,Paved
TKB7K8T,Paved
XTC73NQ,Paved
NZUF7M4,Paved
KTXRGNX,Paved
K3N8ADC,Paved
I25JSGF,Paved
47SP0JH,Paved
HNEAFHF,Paved
SJ29DQW,Paved
VVJ158O,Paved
FSOOCGH,Paved
7PRTR79,Paved
HQ54B8O,Paved
IMJY7S7,Paved
H9XYX9Q,Paved
H8R7OJ2,Paved
93GA3XB,Paved
6OTRJQF,Paved
2YQQ9WS,Paved
6LJRHZ3,Paved
Z2OSI9E,Paved
OVJNYB2,Paved
LNO3W8J,Paved
N90YL69,Paved
QUHOO8R,Paved
8FIZY1M,Paved
F53D1DI,Paved
MJ9YER2,Paved
927BHUF,Paved
2XKQDM5,Paved
1QSGDUE,Paved
3BMH2Q5,Paved
SG89YSS,Paved
Q2V2552,Paved
JKTV1QW,Paved
LV4XGT5,Paved
396D4HI,Paved
NQSL7FX,Paved
87QMHBI,Paved
IY03OM4,Paved
5AC6YRF,Paved
YF1XDKK,Unknown
74CTTH5,Unknown
1BB1WRK,Unknown
ETFFDX5,Unknown
8MX4B9C,Unknown
WTTU2KQ,Unknown
1RWEBRU,Unknown
JNEJVKK,Unknown
WOSAB94,Unknown
GU8ECHB,Unknown
YM2J7ZE,Unknown
V4ITGH1,Unknown
GWTSM5V,Unknown
YEWTYV9,Unknown
AEY24LO,Unknown
7EHES8A,Unknown
FVZ3HQS,Unknown
2B7HTHS,Paved
FKBUC13,Paved
S2QPOTD,Paved
9VXCPYN,Paved
FHYWZ07,Paved
2NHF7YC,Paved
QFRMXC4,Paved
LO1OZJ0,Paved
J0SM52K,Paved
LO3764F,Paved
IEBUIXM,Unknown
AQW5HO1,Unknown
0GZ5KS3,Unknown
MTPU2BE,Unknown
4SJWPE0,Unknown
UABQ9EK,Unknown
OCR113O,Unknown
CCMG98M,Unknown
87Z5O7Q,Unknown
7YTZ0EM,Unknown
ASFER6E,Unknown
QVZKPQD,Unknown
XS7M5WZ,Unknown
8PA0RQ9,Unknown
5XWBAKZ,Unknown
0TMS99B,Unknown
5093ZHY,Unknown
OFAXGKF,Unknown
M223F8G,Unknown
MA3ZWVH,Unknown
PRRLPFL,Unknown
0ROEFOK,Unknown
70OVULT,Unknown
KVQ5DMG,Unknown
I2POO7A,Unknown
VXS8NZ1,Unknown
9DFWVJX,Unknown
K27GB0B,Unknown
RWSJ6AY,Unknown
03RHJ3G,Unknown
0QR8FDW,Unknown
W70WUF7,Unknown
YLQRLAD,Unknown
