segment_id,roadno
D1U6OOF,R300
NG4X2MD,R300
792705Z,R300
IK67XHB,R300
OWCF2MH,R300
MORJH71,R300
49ZDYOH,R300
KL4UM68,R300
V5A8ZZZ,R300
XYFQJ1Q,N1
HN83F3L,N1
WLFBY9T,N1
JCFWX6E,N1
YQRHLO2,N1
XKFABCI,N1
UXERJVK,N1
RZK0UM0,N1
ZL4WLO2,N1
LAZLJ7E,N1
G850GMA,N1
S4MOE5G,N1
BN3EJU4,N1
DD8YXZF,N1
G181X8F,N1
V19MLWF,N1
L4CWZBU,N1
BUJJNEA,N1
KFYGRO8,N1
QM4QKAZ,R300
HB933EE,R300
M43AKN2,R300
MM6HDEQ,R300
Z13SS1G,R300
HSJ0WM7,R300
IXSLKS7,R300
WHW1BZK,R300
NCMIGB7,R300
9PORL0H,R300
AEDN7D7,R300
3YS1KQ9,R300
TD8YB0R,R300
YQCBO2Y,R300
T182CUC,R300
0W39BFY,R300
6A90XDM,R300
OBXISZN,R300
O271SQN,R300
74A6FL0,R300
LFUJ30W,R300
WJBR1L2,R300
GPYNUA8,R300
5Y5V87D,R300
OD60AK9,R300
IQEYE3S,R300
QDRC5UW,R300
FWO1XRQ,R300
92BILMX,R300
0TAWLCK,R300
6SV0XZ0,R300
8ITYQ2Z,N7
CJ0BLSW,N7
ZT6MOAL,N7
1G21L7Q,N7
JJGXEJ4,N7
JRZWRIW,N7
SPPGKO2,N7
LK5JIX6,N7
WO118LR,N7
IQS1GLY,N7
77YRHPV,N7
5HTE1IC,N7
1BJRIL1,N7
VODEAWO,N7
812PNMZ,N7
K2E55RT,N7
XZZ3D4U,N7
EVANFZB,N7
EUXS47I,N7
CK5WH39,N7
CJJI1XY,N1
QBSA1OR,N1
43RCYZH,N1
H983665,N1
4NSOFJG,N1
PH8DIYU,R300
5VK3U7Q,R300
2FN9T8O,R300
50TVADD,R300
DRFEFT4,R300
G2LL3S8,R300
9484GS3,R300
P7RBBFB,R300
XTTWKZM,R300
2M1UBKJ,R300
Q0VL8BD,R300
6EAJWW6,R300
VU4GFO5,R300
2Q8T4YB,R300
LUOEP7G,R300
RY0TRQ8,R300
4ZR4GL4,R300
WG6X4Y0,R300
JZGFZ7Z,R300
NRWU3QW,R300
PD4MTSH,R300
31F34EZ,N1
RO046L9,N1
IKN5JDM,N1
AZ1BUKH,N1
RB56HQI,N1
9LMPLRW,N1
J2L78G3,N1
EJUD4D6,N1
VMCY8BI,N1
PRUSMVO,N1
E4L0I98,N1
JTY12HG,N1
TRTR582,N1
SY568EU,N1
LC8FONX,N1
XTZ54JY,N1
AGD8UQ2,N1
ULMQMUT,N1
T64WM0N,N1
WAC029P,N1
P66KAPS,N1
B8NRA4K,N1
956JU5F,N1
TBPN1BF,N1
KVOVDD8,N1
Q9S9V3Q,N1
5QOCGMJ,N1
J6A19TW,N1
F47NAGJ,N1
F055OA5,N1
WJXP54Z,N1
4UAL23D,N1
GVQD9D6,N1
3NAG1R5,N1
2MHBCT2,N1
Z2I5UQC,N1
M2KOUEK,N1
4KQ8VO6,N1
6E6M9NN,N1
GLFV0XV,N1
8EI7FOX,N1
C6FASR5,N1
6VRO5T2,N1
I6G60AH,N1
QORS7OP,N2
GDVJYQW,N2
L2X64FB,N2
DZABHQW,N2
XINDPM1,N2
MX8CVMX,N2
4K0TGLP,N2
WS0J1CU,N2
V59S0GZ,N2
ON7Z6I0,N2
PCIQQ7E,N2
K48Y5T9,N2
5OR8UGL,N2
AAS3KXB,N2
UEP9HM4,N2
Z4HC8K2,N2
727J2TV,N2
I8VWS8W,N2
WWFC10X,N2
JT4HGZ2,N2
MRQ81XJ,N2
BC5XKSB,N2
0ICKV72,N2
8LSZDSC,N2
OCFS8ZD,N2
IUTMY1U,N2
F5UCVMI,N2
VUYACXV,N2
VWOSZKP,N2
3GCD5AD,N2
GMEHC97,N2
WELMR24,N2
0F3OY57,N2
3IQ1GWG,N2
SQ3W7J8,N2
WVXBO5X,N2
MRHTO2C,N2
QXDLKB7,N2
0PU7VDI,N2
XW393UI,N2
MC84I0T,N2
GH5QX19,N2
YMQX3CJ,N2
WRJK3P3,N2
YNCIDMW,N2
3L7MZUR,N2
8LOVJZ3,N2
Q03FQ74,N2
BG1AFJU,N2
WE8VOFH,N2
VO6FQAZ,N2
EKZN1VM,N2
E5D3KEB,N2
DRI712Q,N2
YEDB2ES,N2
MPGNI7M,N2
VPNLAYY,N2
MEOYV3B,N2
SZJISW0,N2
SSS7BK6,N2
REN8XE5,N2
F1LYCFO,N2
5PYA0N2,N2
UUZT4OE,N2
EK3DHQ6,N2
71YNY81,N2
8PK91S2,N2
D7SS5LM,N2
F8OXXG7,N2
TC7A716,N2
KNG6Z86,N2
N1MTRIJ,N2
A3B2HGD,N2
EKVTVMV,N2
9WPSDH2,N2
MP664QK,N2
2BTEHF3,N2
KL3QK6O,N2
ICNJ23X,N2
H7OMXI9,N2
YGRV6SD,N2
OHQYM1R,N2
1JRNIP6,N2
Y5Z7TXB,N2
3QSXJH3,N2
6Q68JYJ,N2
M4U0X5G,N2
H48JVZQ,N2
W0EUG1C,N2
7O594ZJ,N2
2J6C2D5,N2
XPEXW89,N2
TONSERE,N2
16WNX7T,N2
BDDVLQE,N2
EDXK0HP,N2
HFQZU6J,N1
NFUEAN5,N1
Q2HCM1O,N1
Q17B8NG,N1
P5N4Z0R,N1
MQE3R88,N1
Y4B7JOT,N1
ZFMKTPH,N1
J151TEQ,N1
GZ48XRL,N1
IH75D0V,N1
W8VXVR4,N1
TK9DSXW,N1
ZCX0S5O,N1
HIUQ2RB,N1
VHGABXK,N1
S55R1TY,N1
68KOZH6,N1
G5753GU,N1
V5PX6ZH,N1
T1DB85Y,N1
YU41XSB,N1
G5UHNNF,N1
UB5HE92,N1
CTB99FS,N1
PDDTLDP,N1
C6JTJJC,N1
HH4TZKC,N1
SQ0TZ3H,N1
9EXF4O5,N1
64QSPWU,N1
AUFDV1E,N1
C1ERJ22,N1
0QQIE2L,R300
HM3QRDM,R300
89VZ0E3,R300
EZG7A38,R300
DRNRL0M,R300
4K39AFD,R300
GUA17R4,R300
SE831U7,R300
P0XX6RS,R300
Q54XDYI,N1
1S5XWTK,N1
S9PC5LR,N1
KDFE19M,N1
H8PYLH4,N2
6CP0S10,N2
XHKKOUG,N2
D5DGOZ9,N2
XB2TN3V,N2
N9A4I1K,N2
DS4NLQE,N2
S7S8GMD,N1
9NXZ103,N1
8SB405D,N1
5QTO800,N1
B6D0HHC,N1
24P30PE,N1
UCJGSIW,N1
B1VWF3B,N1
NL4FSPV,N1
LG58LKX,N1
GX2UELI,N1
F14EJLW,N1
8WHR0ZV,N1
DMGFH2Z,N1
0OH5J23,N1
QTT8QNT,N1
XBYNXP7,N1
GBN0X51,N1
3ZQNS8O,N1
L6EU3EB,N1
3VORNT0,N1
Q7OLWGV,N1
C3K236I,N1
7T2W8WU,N1
VI1GKEJ,N1
8YJIRQ2,N1
ZQJNJPJ,N1
LRCHHQJ,N1
SNTDQP9,N1
LUOD99L,N1
Z4VBV3L,N1
UAXX1ZE,N1
B3XNGYS,N1
T14JPJU,N1
MFUUB92,N1
C0RCCDP,N1
Q75ZW1Q,N1
3A5K1RU,N1
D3349RH,N1
6K0F6S9,N1
WPD6G14,N1
XFMDDJ7,N1
J7MH0RF,N1
YGKOTWP,N1
VTJ1O97,N1
T7XSLG6,N1
C62YWEF,N1
4T821GV,N1
1451FOG,N1
PV3AVCT,N1
UHFPI9X,N1
J8FAZRB,N1
0FF63NM,N1
CRAU339,N1
C6E7KMD,N1
GFX7S4B,R300
96FMXIF,R300
6BYSPD6,R300
FTX7LB8,R300
4A66E8Q,R300
A31P11M,N2
1NG8I9K,N2
YVR8GT6,N2
VBUCV9N,N2
LXZFSP3,N2
8Z5P9T1,N2
3WK9HI2,N2
DVQD3DE,N2
3MW0MN9,N2
DUKT4RG,N2
1VFLTND,N2
RYJYAPI,N2
X9J910I,N2
YAPO4I4,N7
NFEBWR6,N2
93O3U6U,N2
U3KP57C,N2
UY59I9M,N2
SUP29NG,N2
LLGN7DY,N2
ZP9STNM,N2
7AKUBY4,N2
M3INBBC,N2
1K4ZYII,N2
GO93XEE,N2
EPX268G,N1
HL23AIZ,N1
ZAVM3PJ,N2
V1BNX3D,N1
P9PBFAJ,N1
XO4JYNU,N1
4HHV563,N1
75BPNAM,N1
0B0QOEN,N1
8VPPU5N,N1
G98H7FR,N1
HR19LL7,N1
7QBQK9L,N1
A0RUUQL,N1
WL17NEO,N1
X17ILML,N2
9FQFQ91,N2
6BNXT5I,N2
PXI00H9,N2
FUPJ3Q2,N2
JUJL6W1,N2
BK0B4IL,N2
9HDQLZ0,N1
EIIZE13,N1
B9V4IAJ,N1
N5NO82G,N1
X4UA382,N1
GRI93Z2,N1
7HICT0R,N1
WUGV4DU,N1
IV5F6YM,N1
TBYQ54D,N1
XNUEEZN,N1
044ZYVD,N1
2M4LCU0,N1
GNGA5AC,N1
S0B3CGQ,N1
5OV4U4C,N1
PLZ8PGL,N1
BL0PD9J,N7
YSM1T15,N7
2ON8NSO,N1
327YML6,N1
SJUWTEK,N2
1DDYC6F,N1
EVFKBUY,N1
086LLYS,N2
DCB3LQM,N2
P36URXV,N2
5DHNI4S,N2
JW0WKQ9,N2
1Q44FGG,N2
JY8VL6C,N2
XOCWI97,N2
AJRKP0C,N2
H9QJECU,N2
CZBWW0Z,N2
S200A1J,N2
8FBHDH2,N2
R6JUSZT,N2
TKB7K8T,N2
XTC73NQ,N2
NZUF7M4,N2
KTXRGNX,N2
K3N8ADC,N2
I25JSGF,N2
47SP0JH,N2
HNEAFHF,N2
SJ29DQW,N2
VVJ158O,N2
FSOOCGH,N2
7PRTR79,N2
HQ54B8O,N2
IMJY7S7,N2
H9XYX9Q,N2
H8R7OJ2,N2
93GA3XB,N2
6OTRJQF,N2
2YQQ9WS,N2
6LJRHZ3,N1
Z2OSI9E,N1
OVJNYB2,N1
LNO3W8J,N1
N90YL69,N1
QUHOO8R,N1
8FIZY1M,N1
F53D1DI,N1
MJ9YER2,N1
927BHUF,N1
2XKQDM5,M5
1QSGDUE,M5
3BMH2Q5,M5
SG89YSS,M5
Q2V2552,M5
JKTV1QW,M5
LV4XGT5,M5
396D4HI,M5
NQSL7FX,M5
87QMHBI,M5
IY03OM4,M5
5AC6YRF,M5
YF1XDKK,N1
74CTTH5,N1
1BB1WRK,N1
ETFFDX5,N1
8MX4B9C,N1
WTTU2KQ,N7
1RWEBRU,M5
JNEJVKK,M5
WOSAB94,N2
GU8ECHB,N2
YM2J7ZE,N2
V4ITGH1,N2
GWTSM5V,N2
YEWTYV9,N2
AEY24LO,N2
7EHES8A,N2
FVZ3HQS,N2
2B7HTHS,Unclassified
FKBUC13,Unclassified
S2QPOTD,Unclassified
9VXCPYN,M3
FHYWZ07,M3
2NHF7YC,M3
QFRMXC4,M3
LO1OZJ0,M3
J0SM52K,Unclassified
LO3764F,Unclassified
IEBUIXM,Unclassified
AQW5HO1,Unclassified
0GZ5KS3,Unclassified
MTPU2BE,Unclassified
4SJWPE0,Unclassified
UABQ9EK,Unclassified
OCR113O,Unclassified
CCMG98M,Unclassified
87Z5O7Q,Unclassified
7YTZ0EM,M17
ASFER6E,M17
QVZKPQD,M17
XS7M5WZ,M17
8PA0RQ9,M17
5XWBAKZ,M17
0TMS99B,M17
5093ZHY,M17
OFAXGKF,M4
M223F8G,M4
MA3ZWVH,M4
PRRLPFL,M4
0ROEFOK,M4
70OVULT,M4
KVQ5DMG,M3
I2POO7A,M3
VXS8NZ1,M3
9DFWVJX,M3
K27GB0B,M3
RWSJ6AY,M3
03RHJ3G,M3
0QR8FDW,M3
W70WUF7,M3
YLQRLAD,Unclassified
