suburb,segment_id
Cape Town Ward 57,03RHJ3G
N1 City,044ZYVD
Cape Town Ward 115,086LLYS
Brooklyn,0B0QOEN
Cape Town Ward 109,0F3OY57
Stellenbosch Ward 18,0FF63NM
Acacia Park,0GZ5KS3
Cape Town Ward 16,0ICKV72
Cape Town Ward 101,0OH5J23
Cape Town Ward 15,0PU7VDI
Cape Town Ward 116,0QQIE2L
Cape Town Ward 57,0QR8FDW
Zonnebloem,0ROEFOK
Cape Town Ward 3,0TAWLCK
Kewtown,0TMS99B
Cape Town Ward 12,0W39BFY
Stellenbosch Ward 18,1451FOG
Cape Town Ward 15,16WNX7T
Brooklyn,1BB1WRK
Richwood,1BJRIL1
Cape Town Ward 115,1DDYC6F
Milnerton,1G21L7Q
Cape Town Ward 109,1JRNIP6
Cape Town Ward 31,1K4ZYII
Cape Town Ward 100,1NG8I9K
Cape Town Ward 57,1Q44FGG
Brooklyn,1QSGDUE
Maitland,1RWEBRU
Drakenstein Ward 28,1S5XWTK
Cape Town Ward 84,1VFLTND
Cape Town Ward 102,24P30PE
Cape Town Ward 31,2B7HTHS
Cape Town Ward 109,2BTEHF3
Cape Town Ward 116,2FN9T8O
Cape Town Ward 15,2J6C2D5
Cape Town Ward 12,2M1UBKJ
Montague,2M4LCU0
Drakenstein Ward 27,2MHBCT2
Cape Town Ward 57,2NHF7YC
City Centre,2ON8NSO
Cape Town Ward 3,2Q8T4YB
Brooklyn,2XKQDM5
Bonteheuwel,2YQQ9WS
Cape Town Ward 101,31F34EZ
Cape Town Ward 115,327YML6
Mowbray,396D4HI
Cape Town Ward 101,3A5K1RU
Maitland,3BMH2Q5
Cape Town Ward 109,3GCD5AD
Cape Town Ward 109,3IQ1GWG
Cape Town Ward 15,3L7MZUR
Cape Town Ward 84,3MW0MN9
Drakenstein Ward 27,3NAG1R5
Cape Town Ward 109,3QSXJH3
Cape Town Ward 102,3VORNT0
Cape Town Ward 84,3WK9HI2
Cape Town Ward 18,3YS1KQ9
Cape Town Ward 102,3ZQNS8O
Drakenstein Ward 25,43RCYZH
Cape Town Ward 100,47SP0JH
Cape Town Ward 12,49ZDYOH
Cape Town Ward 19,4A66E8Q
Paarden Eiland,4HHV563
Cape Town Ward 114,4K0TGLP
Cape Town Ward 114,4K39AFD
Drakenstein Ward 28,4KQ8VO6
Drakenstein Ward 25,4NSOFJG
Acacia Park,4SJWPE0
,4T821GV
Stellenbosch Ward 18,4UAL23D
Cape Town Ward 8,4ZR4GL4
Kewtown,5093ZHY
Cape Town Ward 18,50TVADD
,5AC6YRF
Mowbray,5DHNI4S
Richwood,5HTE1IC
Cape Town Ward 89,5OR8UGL
Montague,5OV4U4C
Cape Town Ward 93,5PYA0N2
Stellenbosch Ward 18,5QOCGMJ
Cape Town Ward 102,5QTO800
Cape Town Ward 76,5VK3U7Q
Kewtown,5XWBAKZ
Cape Town Ward 3,5Y5V87D
,64QSPWU
Cape Town Ward 102,68KOZH6
Cape Town Ward 11,6A90XDM
Cape Town Ward 115,6BNXT5I
Cape Town Ward 13,6BYSPD6
Cape Town Ward 100,6CP0S10
Drakenstein Ward 28,6E6M9NN
Cape Town Ward 8,6EAJWW6
Stellenbosch Ward 18,6K0F6S9
Tyger Valley,6LJRHZ3
Cape Town Ward 40,6OTRJQF
Cape Town Ward 109,6Q68JYJ
Cape Town Ward 8,6SV0XZ0
Drakenstein Ward 27,6VRO5T2
Zonnebloem,70OVULT
Cape Town Ward 96,71YNY81
Cape Town Ward 93,727J2TV
Cape Town Ward 12,74A6FL0
Brooklyn,74CTTH5
Paarden Eiland,75BPNAM
Richwood,77YRHPV
Cape Town Ward 13,792705Z
Cape Town Ward 31,7AKUBY4
Cape Town Ward 31,7EHES8A
Northgate,7HICT0R
Cape Town Ward 15,7O594ZJ
Hazendal,7PRTR79
Cape Town Ward 115,7QBQK9L
Cape Town Ward 101,7T2W8WU
Cape Town Ward 52,7YTZ0EM
Du Noon,812PNMZ
Mowbray,87QMHBI
Summer Greens,87Z5O7Q
Cape Town Ward 106,89VZ0E3
Drakenstein Ward 27,8EI7FOX
Cape Town Ward 36,8FBHDH2
Avondale,8FIZY1M
Milnerton,8ITYQ2Z
Cape Town Ward 15,8LOVJZ3
Cape Town Ward 109,8LSZDSC
Cape Town Ward 55,8MX4B9C
Kewtown,8PA0RQ9
Cape Town Ward 96,8PK91S2
Cape Town Ward 102,8SB405D
Cape Town Ward 115,8VPPU5N
Cape Town Ward 101,8WHR0ZV
Cape Town Ward 101,8YJIRQ2
Cape Town Ward 100,8Z5P9T1
Northgate,927BHUF
Cape Town Ward 3,92BILMX
Cape Town Ward 31,93GA3XB
Bonteheuwel,93O3U6U
Cape Town Ward 11,9484GS3
Stellenbosch Ward 18,956JU5F
Cape Town Ward 13,96FMXIF
Cape Town Ward 57,9DFWVJX
Drakenstein Ward 15,9EXF4O5
Cape Town Ward 115,9FQFQ91
Cape Town Ward 21,9HDQLZ0
Cape Town Ward 101,9LMPLRW
Cape Town Ward 102,9NXZ103
Cape Town Ward 18,9PORL0H
Zonnebloem,9VXCPYN
Cape Town Ward 109,9WPSDH2
Cape Town Ward 115,A0RUUQL
Cape Town Ward 100,A31P11M
Cape Town Ward 109,A3B2HGD
Cape Town Ward 93,AAS3KXB
Cape Town Ward 18,AEDN7D7
Cape Town Ward 83,AEY24LO
Cape Town Ward 101,AGD8UQ2
Cape Town Ward 36,AJRKP0C
Cape Town Ward 56,AQW5HO1
Bridgetown,ASFER6E
Drakenstein Ward 15,AUFDV1E
Cape Town Ward 101,AZ1BUKH
Cape Town Ward 101,B1VWF3B
Cape Town Ward 101,B3XNGYS
Cape Town Ward 102,B6D0HHC
Stellenbosch Ward 18,B8NRA4K
Cape Town Ward 21,B9V4IAJ
Cape Town Ward 96,BC5XKSB
Cape Town Ward 15,BDDVLQE
Cape Town Ward 18,BG1AFJU
Cape Town Ward 115,BK0B4IL
Montague,BL0PD9J
Cape Town Ward 101,BN3EJU4
Cape Town Ward 101,BUJJNEA
Cape Town Ward 101,C0RCCDP
Drakenstein Ward 15,C1ERJ22
Cape Town Ward 101,C3K236I
Stellenbosch Ward 18,C62YWEF
Drakenstein Ward 25,C6E7KMD
Drakenstein Ward 27,C6FASR5
Cape Town Ward 102,C6JTJJC
Acacia Park,CCMG98M
Milnerton,CJ0BLSW
Drakenstein Ward 25,CJJI1XY
Cape Town Ward 104,CK5WH39
Drakenstein Ward 15,CRAU339
Cape Town Ward 102,CTB99FS
Cape Town Ward 36,CZBWW0Z
Cape Town Ward 13,D1U6OOF
Cape Town Ward 101,D3349RH
Cape Town Ward 100,D5DGOZ9
Cape Town Ward 96,D7SS5LM
Hazendal,DCB3LQM
Cape Town Ward 101,DD8YXZF
Cape Town Ward 101,DMGFH2Z
Cape Town Ward 116,DRFEFT4
Cape Town Ward 114,DRI712Q
Cape Town Ward 114,DRNRL0M
Cape Town Ward 100,DS4NLQE
Cape Town Ward 84,DUKT4RG
Cape Town Ward 84,DVQD3DE
Cape Town Ward 18,DZABHQW
Cape Town Ward 101,E4L0I98
Cape Town Ward 114,E5D3KEB
Cape Town Ward 15,EDXK0HP
Cape Town Ward 21,EIIZE13
Cape Town Ward 101,EJUD4D6
Cape Town Ward 93,EK3DHQ6
Cape Town Ward 109,EKVTVMV
Cape Town Ward 18,EKZN1VM
,EPX268G
Cape Town Ward 55,ETFFDX5
Cape Town Ward 1,EUXS47I
Cape Town Ward 1,EVANFZB
Brooklyn,EVFKBUY
Cape Town Ward 114,EZG7A38
Drakenstein Ward 1,F055OA5
Stellenbosch Ward 18,F14EJLW
Cape Town Ward 93,F1LYCFO
Stellenbosch Ward 18,F47NAGJ
Cape Town Ward 2,F53D1DI
,F5UCVMI
Cape Town Ward 96,F8OXXG7
Cape Town Ward 57,FHYWZ07
Cape Town Ward 31,FKBUC13
Kewtown,FSOOCGH
Cape Town Ward 13,FTX7LB8
Cape Town Ward 115,FUPJ3Q2
Cape Town Ward 31,FVZ3HQS
Cape Town Ward 8,FWO1XRQ
Cape Town Ward 101,G181X8F
Cape Town Ward 12,G2LL3S8
Cape Town Ward 102,G5753GU
Drakenstein Ward 15,G5UHNNF
Cape Town Ward 101,G850GMA
Cape Town Ward 115,G98H7FR
Cape Town Ward 102,GBN0X51
Cape Town Ward 18,GDVJYQW
Cape Town Ward 13,GFX7S4B
Cape Town Ward 15,GH5QX19
,GLFV0XV
Cape Town Ward 109,GMEHC97
Montague,GNGA5AC
Cape Town Ward 24,GO93XEE
Cape Town Ward 3,GPYNUA8
Cape Town Ward 21,GRI93Z2
Cape Town Ward 84,GU8ECHB
Cape Town Ward 114,GUA17R4
Drakenstein Ward 27,GVQD9D6
Cape Town Ward 84,GWTSM5V
Cape Town Ward 101,GX2UELI
Drakenstein Ward 28,GZ48XRL
Cape Town Ward 15,H48JVZQ
Cape Town Ward 109,H7OMXI9
Cape Town Ward 100,H8PYLH4
Cape Town Ward 40,H8R7OJ2
Drakenstein Ward 25,H983665
Cape Town Ward 36,H9QJECU
Cape Town Ward 53,H9XYX9Q
Cape Town Ward 106,HB933EE
Drakenstein Ward 15,HFQZU6J
Cape Town Ward 102,HH4TZKC
Cape Town Ward 102,HIUQ2RB
Cape Town Ward 115,HL23AIZ
Cape Town Ward 18,HM3QRDM
Cape Town Ward 21,HN83F3L
Cape Town Ward 100,HNEAFHF
Cape Town Ward 53,HQ54B8O
Cape Town Ward 115,HR19LL7
Cape Town Ward 114,HSJ0WM7
,I25JSGF
,I2POO7A
Drakenstein Ward 27,I6G60AH
Cape Town Ward 96,I8VWS8W
Cape Town Ward 109,ICNJ23X
Cape Town Ward 56,IEBUIXM
Drakenstein Ward 28,IH75D0V
Cape Town Ward 13,IK67XHB
Cape Town Ward 101,IKN5JDM
Cape Town Ward 53,IMJY7S7
Cape Town Ward 8,IQEYE3S
Cape Town Ward 1,IQS1GLY
Cape Town Ward 109,IUTMY1U
De Duin,IV5F6YM
Cape Town Ward 19,IXSLKS7
Maitland,IY03OM4
Cape Town Ward 31,J0SM52K
Drakenstein Ward 28,J151TEQ
Cape Town Ward 101,J2L78G3
Stellenbosch Ward 18,J6A19TW
Stellenbosch Ward 18,J7MH0RF
Stellenbosch Ward 18,J8FAZRB
Cape Town Ward 102,JCFWX6E
Milnerton,JJGXEJ4
Maitland,JKTV1QW
Maitland Garden Village,JNEJVKK
Botasig,JRZWRIW
Cape Town Ward 96,JT4HGZ2
,JTY12HG
Cape Town Ward 115,JUJL6W1
Cape Town Ward 57,JW0WKQ9
Mowbray,JY8VL6C
Cape Town Ward 3,JZGFZ7Z
Cape Town Ward 57,K27GB0B
Du Noon,K2E55RT
Cape Town Ward 100,K3N8ADC
Cape Town Ward 89,K48Y5T9
Drakenstein Ward 28,KDFE19M
Cape Town Ward 101,KFYGRO8
Cape Town Ward 109,KL3QK6O
,KL4UM68
Cape Town Ward 109,KNG6Z86
Cape Town Ward 83,KTXRGNX
Stellenbosch Ward 18,KVOVDD8
Rondebosch,KVQ5DMG
Cape Town Ward 106,L2X64FB
Cape Town Ward 101,L4CWZBU
Cape Town Ward 102,L6EU3EB
Cape Town Ward 101,LAZLJ7E
Cape Town Ward 101,LC8FONX
Cape Town Ward 11,LFUJ30W
Cape Town Ward 101,LG58LKX
Botasig,LK5JIX6
Bonteheuwel,LLGN7DY
Boston,LNO3W8J
Cape Town Ward 57,LO1OZJ0
Cape Town Ward 31,LO3764F
Cape Town Ward 101,LRCHHQJ
Cape Town Ward 101,LUOD99L
Cape Town Ward 3,LUOEP7G
Mowbray,LV4XGT5
Cape Town Ward 100,LXZFSP3
Cape Town Ward 57,M223F8G
Drakenstein Ward 28,M2KOUEK
Cape Town Ward 31,M3INBBC
Cape Town Ward 106,M43AKN2
Cape Town Ward 15,M4U0X5G
Cape Town Ward 115,MA3ZWVH
Cape Town Ward 15,MC84I0T
Cape Town Ward 89,MEOYV3B
Cape Town Ward 101,MFUUB92
Cape Town Ward 2,MJ9YER2
Cape Town Ward 114,MM6HDEQ
Cape Town Ward 13,MORJH71
Cape Town Ward 109,MP664QK
Cape Town Ward 87,MPGNI7M
Drakenstein Ward 28,MQE3R88
Cape Town Ward 109,MRHTO2C
Cape Town Ward 96,MRQ81XJ
Acacia Park,MTPU2BE
Cape Town Ward 114,MX8CVMX
Cape Town Ward 109,N1MTRIJ
Cape Town Ward 21,N5NO82G
Hoheizen,N90YL69
Cape Town Ward 100,N9A4I1K
Cape Town Ward 35,NCMIGB7
Welcome,NFEBWR6
Drakenstein Ward 15,NFUEAN5
Cape Town Ward 13,NG4X2MD
Cape Town Ward 101,NL4FSPV
Mowbray,NQSL7FX
Cape Town Ward 3,NRWU3QW
Cape Town Ward 83,NZUF7M4
Cape Town Ward 11,O271SQN
Cape Town Ward 11,OBXISZN
Cape Town Ward 109,OCFS8ZD
Acacia Park,OCR113O
Cape Town Ward 8,OD60AK9
Cape Town Ward 57,OFAXGKF
Cape Town Ward 109,OHQYM1R
Cape Town Ward 89,ON7Z6I0
Boston,OVJNYB2
Cape Town Ward 13,OWCF2MH
Cape Town Ward 108,P0XX6RS
Mowbray,P36URXV
Drakenstein Ward 28,P5N4Z0R
,P66KAPS
Cape Town Ward 12,P7RBBFB
Cape Town Ward 115,P9PBFAJ
Cape Town Ward 89,PCIQQ7E
Cape Town Ward 3,PD4MTSH
Cape Town Ward 102,PDDTLDP
Cape Town Ward 76,PH8DIYU
Milnerton,PLZ8PGL
Cape Town Ward 115,PRRLPFL
Cape Town Ward 101,PRUSMVO
Stellenbosch Ward 18,PV3AVCT
Cape Town Ward 115,PXI00H9
Cape Town Ward 15,Q03FQ74
Cape Town Ward 9,Q0VL8BD
Drakenstein Ward 27,Q17B8NG
Drakenstein Ward 27,Q2HCM1O
Maitland,Q2V2552
Drakenstein Ward 28,Q54XDYI
Cape Town Ward 101,Q75ZW1Q
Cape Town Ward 101,Q7OLWGV
Stellenbosch Ward 18,Q9S9V3Q
Drakenstein Ward 25,QBSA1OR
Cape Town Ward 8,QDRC5UW
Cape Town Ward 57,QFRMXC4
Cape Town Ward 18,QM4QKAZ
Cape Town Ward 18,QORS7OP
Cape Town Ward 101,QTT8QNT
Avondale,QUHOO8R
Bridgetown,QVZKPQD
Cape Town Ward 109,QXDLKB7
Cape Town Ward 35,R6JUSZT
Cape Town Ward 101,RB56HQI
Cape Town Ward 89,REN8XE5
Cape Town Ward 101,RO046L9
Cape Town Ward 57,RWSJ6AY
Cape Town Ward 8,RY0TRQ8
Cape Town Ward 84,RYJYAPI
Cape Town Ward 102,RZK0UM0
Montague,S0B3CGQ
Cape Town Ward 36,S200A1J
Cape Town Ward 31,S2QPOTD
Cape Town Ward 101,S4MOE5G
Cape Town Ward 102,S55R1TY
Cape Town Ward 102,S7S8GMD
Drakenstein Ward 28,S9PC5LR
Cape Town Ward 19,SE831U7
Brooklyn,SG89YSS
Cape Town Ward 100,SJ29DQW
City Centre,SJUWTEK
Cape Town Ward 101,SNTDQP9
Botasig,SPPGKO2
Cape Town Ward 101,SQ0TZ3H
Cape Town Ward 109,SQ3W7J8
Cape Town Ward 89,SSS7BK6
Cape Town Ward 52,SUP29NG
,SY568EU
Cape Town Ward 89,SZJISW0
Cape Town Ward 101,T14JPJU
Cape Town Ward 12,T182CUC
Cape Town Ward 102,T1DB85Y
Stellenbosch Ward 18,T64WM0N
Stellenbosch Ward 18,T7XSLG6
Stellenbosch Ward 18,TBPN1BF
N1 City,TBYQ54D
Cape Town Ward 109,TC7A716
Cape Town Ward 19,TD8YB0R
Cape Town Ward 21,TK9DSXW
Cape Town Ward 83,TKB7K8T
Cape Town Ward 15,TONSERE
Stellenbosch Ward 18,TRTR582
Bonteheuwel,U3KP57C
Acacia Park,UABQ9EK
Cape Town Ward 101,UAXX1ZE
Drakenstein Ward 15,UB5HE92
Cape Town Ward 101,UCJGSIW
Cape Town Ward 16,UEP9HM4
Drakenstein Ward 1,UHFPI9X
Stellenbosch Ward 18,ULMQMUT
Cape Town Ward 93,UUZT4OE
Cape Town Ward 102,UXERJVK
Bonteheuwel,UY59I9M
Cape Town Ward 101,V19MLWF
Cape Town Ward 115,V1BNX3D
Cape Town Ward 84,V4ITGH1
Cape Town Ward 89,V59S0GZ
Cape Town Ward 12,V5A8ZZZ
Cape Town Ward 102,V5PX6ZH
Cape Town Ward 100,VBUCV9N
Cape Town Ward 102,VHGABXK
,VI1GKEJ
Cape Town Ward 101,VMCY8BI
Cape Town Ward 106,VO6FQAZ
Richwood,VODEAWO
Cape Town Ward 89,VPNLAYY
Stellenbosch Ward 18,VTJ1O97
Cape Town Ward 3,VU4GFO5
Cape Town Ward 109,VUYACXV
Cape Town Ward 100,VVJ158O
Cape Town Ward 109,VWOSZKP
Cape Town Ward 57,VXS8NZ1
Cape Town Ward 15,W0EUG1C
Cape Town Ward 57,W70WUF7
Drakenstein Ward 28,W8VXVR4
Stellenbosch Ward 18,WAC029P
Cape Town Ward 18,WE8VOFH
Cape Town Ward 109,WELMR24
Cape Town Ward 3,WG6X4Y0
Cape Town Ward 13,WHW1BZK
Cape Town Ward 8,WJBR1L2
Stellenbosch Ward 18,WJXP54Z
Cape Town Ward 115,WL17NEO
Cape Town Ward 21,WLFBY9T
Botasig,WO118LR
Cape Town Ward 84,WOSAB94
Stellenbosch Ward 18,WPD6G14
Cape Town Ward 15,WRJK3P3
Cape Town Ward 114,WS0J1CU
Cape Town Ward 52,WTTU2KQ
Northgate,WUGV4DU
Cape Town Ward 109,WVXBO5X
Cape Town Ward 96,WWFC10X
Cape Town Ward 115,X17ILML
Cape Town Ward 21,X4UA382
Cape Town Ward 100,X9J910I
Cape Town Ward 100,XB2TN3V
Cape Town Ward 101,XBYNXP7
Stellenbosch Ward 18,XFMDDJ7
Cape Town Ward 100,XHKKOUG
Cape Town Ward 114,XINDPM1
Cape Town Ward 102,XKFABCI
N1 City,XNUEEZN
Paarden Eiland,XO4JYNU
Cape Town Ward 39,XOCWI97
Cape Town Ward 15,XPEXW89
Bridgetown,XS7M5WZ
Cape Town Ward 83,XTC73NQ
Cape Town Ward 12,XTTWKZM
Cape Town Ward 101,XTZ54JY
Cape Town Ward 15,XW393UI
Drakenstein Ward 25,XYFQJ1Q
Cape Town Ward 1,XZZ3D4U
Drakenstein Ward 27,Y4B7JOT
Cape Town Ward 109,Y5Z7TXB
Cape Town Ward 52,YAPO4I4
Cape Town Ward 114,YEDB2ES
Cape Town Ward 83,YEWTYV9
Brooklyn,YF1XDKK
Stellenbosch Ward 18,YGKOTWP
Cape Town Ward 109,YGRV6SD
Hazendal,YLQRLAD
Cape Town Ward 84,YM2J7ZE
Cape Town Ward 15,YMQX3CJ
Cape Town Ward 15,YNCIDMW
Cape Town Ward 19,YQCBO2Y
Cape Town Ward 102,YQRHLO2
Acacia Park,YSM1T15
Drakenstein Ward 15,YU41XSB
Cape Town Ward 100,YVR8GT6
Cape Town Ward 114,Z13SS1G
Drakenstein Ward 28,Z2I5UQC
Hoheizen,Z2OSI9E
Cape Town Ward 93,Z4HC8K2
Cape Town Ward 101,Z4VBV3L
Cape Town Ward 115,ZAVM3PJ
Cape Town Ward 21,ZCX0S5O
Drakenstein Ward 27,ZFMKTPH
Stellenbosch Ward 18,ZL4WLO2
Cape Town Ward 40,ZP9STNM
Stellenbosch Ward 18,ZQJNJPJ
Milnerton,ZT6MOAL
